emoji,name,group,exclude
🎍,Pine Decoration,Activities,
🎎,Japanese Dolls,Activities,
🎏,Carp Streamer,Activities,
🎐,Wind Chime,Activities,
🎑,Moon Viewing Ceremony,Activities,
🧧,Red Envelope,Activities,
🎀,Ribbon,Activities,
🎁,Wrapped Gift,Activities,
🎗️,Reminder Ribbon,Activities,
🎟️,Admission Tickets,Activities,
🎫,Ticket,Activities,
🎖️,Military Medal,Activities,
🏅,Sports Medal,Activities,
🥇,1st Place Medal,Activities,
🥈,2nd Place Medal,Activities,
🥉,3rd Place Medal,Activities,
⚽,Soccer Ball,Activities,
⚾,Baseball,Activities,
🥎,Softball,Activities,
🏀,Basketball,Activities,
🏐,Volleyball,Activities,
🏈,American Football,Activities,
🏉,Rugby Football,Activities,
🎾,Tennis,Activities,
🥏,Flying Disc,Activities,
🎳,Bowling,Activities,
🏏,Cricket Game,Activities,
🏑,Field Hockey,Activities,
🏒,Ice Hockey,Activities,
🥍,Lacrosse,Activities,
🏓,Ping Pong,Activities,
🏸,Badminton,Activities,
🥊,Boxing Glove,Activities,
🥋,Martial Arts Uniform,Activities,
🥅,Goal Net,Activities,
⛳,Flag in Hole,Activities,
⛸️,Ice Skate,Activities,
🎣,Fishing Pole,Activities,
🤿,Diving Mask,Activities,
🎽,Running Shirt,Activities,
🎿,Skis,Activities,
🥌,Curling Stone,Activities,
🎯,Direct Hit,Activities,
🪀,Yo-Yo,Activities,
🪁,Kite,Activities,
🔫,Water Pistol,Activities,
🎱,Pool 8 Ball,Activities,
🔮,Crystal Ball,Activities,
🎮,Video Game,Activities,
🕹️,Joystick,Activities,
🎰,Slot Machine,Activities,
🎲,Game Die,Activities,
🧩,Puzzle Piece,Activities,
🧸,Teddy Bear,Activities,
🃏,Joker,Activities,
🀄,Mahjong Red Dragon,Activities,
🎴,Flower Playing Cards,Activities,
🎭,Performing Arts,Activities,
🖼️,Framed Picture,Activities,
🎨,Artist Palette,Activities,
🧵,Thread,Activities,
🧶,Yarn,Activities,
👓,Glasses,Objects,
🕶️,Sunglasses,Objects,
🥽,Goggles,Objects,
🥼,Lab Coat,Objects,
🦺,Safety Vest,Objects,
👔,Necktie,Objects,
👕,T-Shirt,Objects,
👖,Jeans,Objects,
🧣,Scarf,Objects,
🧤,Gloves,Objects,
🧥,Coat,Objects,
🧦,Socks,Objects,
👗,Dress,Objects,
👘,Kimono,Objects,
🥻,Sari,Objects,
🩱,One-Piece Swimsuit,Objects,
🩲,Briefs,Objects,
🩳,Shorts,Objects,
👙,Bikini,Objects,
👚,Womans Clothes,Objects,
👛,Purse,Objects,
👜,Handbag,Objects,
👝,Clutch Bag,Objects,
🛍️,Shopping Bags,Objects,
🎒,Backpack,Objects,
👞,Mans Shoe,Objects,
👟,Running Shoe,Objects,
🥾,Hiking Boot,Objects,
🥿,Flat Shoe,Objects,
👠,High-Heeled Shoe,Objects,
👡,Womans Sandal,Objects,
🩰,Ballet Shoes,Objects,
👢,Womans Boot,Objects,
👑,Crown,Objects,
👒,Womans Hat,Objects,
🎩,Top Hat,Objects,
🎓,Graduation Cap,Objects,
🧢,Billed Cap,Objects,
⛑️,Rescue Workers Helmet,Objects,
📿,Prayer Beads,Objects,
💄,Lipstick,Objects,
💍,Ring,Objects,
💎,Gem Stone,Objects,
🔇,Muted Speaker,Objects,
🔈,Speaker Low Volume,Objects,
🔉,Speaker Medium Volume,Objects,
🔊,Speaker High Volume,Objects,
📢,Loudspeaker,Objects,
📣,Megaphone,Objects,
📯,Postal Horn,Objects,
🔔,Bell,Objects,
🔕,Bell with Slash,Objects,
🎼,Musical Score,Objects,
🎵,Musical Note,Objects,
🎶,Musical Notes,Objects,
🎙️,Studio Microphone,Objects,
🎚️,Level Slider,Objects,
🎛️,Control Knobs,Objects,
🎤,Microphone,Objects,
🎧,Headphone,Objects,
📻,Radio,Objects,
🎷,Saxophone,Objects,
🎸,Guitar,Objects,
🎹,Musical Keyboard,Objects,
